Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
14	0	-80.88525	-90.45017	9.564921	0.01739935	0.0001294968	0.1788059	0.003451554	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.0665683	0.006910831	0.178806	0.0173994	0.000129497	0.1963348	0.3390549
15	1	-82.05309	-91.5366	9.483511	0.002450686	0.0004438046	0.1850273	0.01462869	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.0192196	0.01347491	0.185027	0.00245069	0.000443805	0.1879218	0.1022744
16	0	-85.30969	-94.24321	8.93352	0.0005015922	0.01922121	0.2229268	0.009160134	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.127452	0.0114912	0.222927	0.000501592	0.0192212	0.2426496	0.5252524
17	1	-82.07329	-91.59856	9.525265	0.00853814	0.003957116	0.1850273	0.01027705	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.0572471	0.002695484	0.185027	0.00853814	0.00395712	0.1975226	0.2898255
18	0	-89.12305	-97.61774	8.49469	0.01243056	0.01202172	0.2229268	0.01999158	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.0774716	0.03914588	0.222927	0.0124306	0.0120217	0.2473791	0.3131697
19	1	-81.59667	-91.44255	9.845872	0.0004973041	0.003807589	0.1652942	0.01025517	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.0368055	0.002520881	0.165294	0.000497304	0.00380759	0.1695991	0.2170145
20	0	-85.81821	-95.03811	9.2199	0.002424315	0.01264308	0.1762447	0.02060661	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.0312723	0.02998941	0.176245	0.00242431	0.0126431	0.1913121	0.1634623
21	1	-81.65247	-91.30449	9.652015	0.004636808	0.005398933	0.1788867	0.00889924	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.0317276	0.001212197	0.178887	0.00463681	0.00539893	0.1889224	0.16794
22	0	-81.89658	-91.34055	9.443971	0.003315532	0.0006000692	0.1851487	0.01227282	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.020891	0.01848111	0.185149	0.00331553	0.000600069	0.1890643	0.1104966
23	1	-81.39425	-91.05748	9.663226	0.00233796	0.01007383	0.1788867	0.005631524	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.017178	0.0006474061	0.178887	0.00233796	0.0100738	0.1912985	0.08979683
24	0	-82.81369	-92.30556	9.491872	0.001551536	0.009305349	0.1851487	0.002903337	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.0823815	0.01513959	0.185149	0.00155154	0.00930535	0.1960056	0.4203018
25	1	-81.62	-91.33819	9.718191	0.00289463	0.01646693	0.1673542	0.003148076	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.0447032	0.002863844	0.167354	0.00289463	0.0164669	0.1867157	0.2394183
26	0	-79.02324	-88.69259	9.66935	8.478826e-05	0.0001227351	0.1851487	0.002042146	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.0260887	0.01040529	0.185149	8.47883e-05	0.000122735	0.1853562	0.140749
27	1	-80.69754	-90.35383	9.656295	0.02250202	0.001057344	0.1673542	0.003040517	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.0417435	0.004370757	0.167354	0.022502	0.00105734	0.1909135	0.2186515
28	0	-79.88126	-89.63927	9.758017	0.01091344	0.002220313	0.1628	0.001492013	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.0252773	0.01284094	0.1628	0.0109134	0.00222031	0.1759338	0.1436752
29	1	-82.16854	-91.84152	9.672973	0.001105278	0.01187044	0.1673542	0.01010148	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.0224347	0.007719277	0.167354	0.00110528	0.0118704	0.1803299	0.124409
30	0	-85.95175	-95.36117	9.409423	0.004247248	0.04133055	0.1628	0.007837738	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.0771467	0.004331802	0.1628	0.00424725	0.0413306	0.2083778	0.3702251
31	1	-83.9232	-93.56006	9.636868	0.01456374	0.005377553	0.1673542	0.007701151	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.0804878	0.005781525	0.167354	0.0145637	0.00537755	0.1872955	0.4297369
32	0	-82.20302	-91.55863	9.355609	0.006345078	0.00430933	0.1890032	0.00564902	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.0603965	0.02185279	0.189003	0.00634508	0.00430933	0.1996576	0.3025002
33	1	-81.5806	-91.31378	9.733173	0.001266041	0.01063149	0.1673542	0.00707495	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.0307624	0.00595614	0.167354	0.00126604	0.0106315	0.1792517	0.1716159
34	0	-82.32253	-92.19809	9.875559	0.002261024	0.01997491	0.1478091	0.004846088	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.0360626	0.004452482	0.147809	0.00226102	0.0199749	0.170045	0.2120767
