Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	total_speciation	turnover
14	0	-42.13695	-46.17692	4.039972	0.08542948	0.03046539	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.0294161	0.1069843	0.0854295	0.08542948	0.3443314
15	1	-40.77519	-45.00406	4.228866	0.08341763	0.1021313	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.0133431	0.02257597	0.0834176	0.08341763	0.1599551
16	0	-42.29848	-45.87507	3.576592	0.0947657	0.04125429	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.00923467	0.1140078	0.0947657	0.0947657	0.09744736
17	1	-43.89658	-46.95634	3.059753	0.1011198	0.07957408	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.0443531	0.1079578	0.10112	0.1011198	0.4386193
18	0	-42.41602	-45.83507	3.419052	0.1006506	0.04332232	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.0262252	0.1097131	0.100651	0.1006506	0.2605571
19	1	-43.17482	-46.84974	3.674925	0.06448046	0.05432051	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.00549157	0.1836409	0.0644805	0.06448046	0.08516641
20	0	-40.73421	-44.90404	4.169825	0.09500421	0.03209337	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.0235317	0.06311667	0.0950042	0.09500421	0.2476913
21	1	-46.4143	-48.11779	1.703495	0.119889	0.04690508	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.0617947	0.2189057	0.119889	0.119889	0.5154324
22	0	-40.44829	-45.57731	5.129017	0.06828089	0.03667568	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.0147226	0.04426482	0.0682809	0.06828089	0.2156178
23	1	-42.92508	-46.16798	3.242898	0.08599361	0.1398108	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.0142011	0.07562265	0.0859936	0.08599361	0.1651409
