Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	total_speciation	turnover
10	0	-104.5327	-103.7134	-0.8193189	0.06540151	0.1197577	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.0508242	0.1123867	0.0654015	0.06540151	0.7771104
11	1	-104.2295	-107.2454	3.01592	0.03600979	0.1347498	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.00839878	0.06875177	0.0360098	0.03600979	0.233236
12	0	-105.1664	-104.8645	-0.3019746	0.06540151	0.08860486	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.0395356	0.09180508	0.0654015	0.06540151	0.6045056
13	1	-105.3189	-107.5793	2.260369	0.03600979	0.1281346	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.00640876	0.1509221	0.0360098	0.03600979	0.1779728
14	0	-106.547	-106.7237	0.1766486	0.06225647	0.06220075	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.0316424	0.1083207	0.0622565	0.06225647	0.5082585
15	1	-103.4303	-107.005	3.574649	0.03600979	0.05350951	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.0175594	0.09411919	0.0360098	0.03600979	0.4876282
16	0	-104.2726	-104.9482	0.6756079	0.05058983	0.1604116	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.0305179	0.101079	0.0505898	0.05058983	0.6032419
17	1	-104.8174	-104.3208	-0.4965432	0.0591378	0.1306815	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.0384553	0.1448144	0.0591378	0.0591378	0.6502664
18	0	-104.7436	-107.1107	2.367037	0.03205377	0.1453678	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.00955929	0.1707878	0.0320538	0.03205377	0.2982266
19	1	-103.5594	-106.2113	2.651839	0.04163524	0.1032715	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.0169532	0.06871537	0.0416352	0.04163524	0.4071829
20	0	-105.7983	-107.2414	1.443097	0.05100949	0.08908582	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.018217	0.09058884	0.0510095	0.05100949	0.3571291
21	1	-105.4158	-108.0474	2.631586	0.02758932	0.1526352	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.00587688	0.1909701	0.0275893	0.02758932	0.213013
22	0	-104.4588	-108.0135	3.554751	0.03320214	0.114608	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.00274563	0.06891062	0.0332021	0.03320214	0.08269427
23	1	-104.9957	-111.1245	6.128756	0.01795792	0.05449095	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.000730523	0.05568866	0.0179579	0.01795792	0.0406797
24	0	-104.1749	-104.7799	0.605078	0.05103816	0.1494004	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.0352276	0.11373	0.0510382	0.05103816	0.6902202
25	1	-103.9618	-107.3574	3.395633	0.03589961	0.06134092	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.0110439	0.1055197	0.0358996	0.03589961	0.3076322
26	0	-104.7745	-105.4494	0.6748616	0.0555444	0.1084891	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.0288568	0.09325385	0.0555444	0.0555444	0.519527
27	1	-104.5717	-108.5751	4.003433	0.03594107	0.02978224	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.0151031	0.07579783	0.0359411	0.03594107	0.4202176
28	0	-103.9472	-104.6481	0.7008733	0.0555444	0.1337616	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.0353997	0.06538015	0.0555444	0.0555444	0.6373223
29	1	-103.4748	-108.2674	4.79262	0.02551126	0.0737683	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.00239849	0.07882455	0.0255113	0.02551126	0.09401693
30	0	-104.2885	-106.6815	2.392971	0.04477642	0.05748211	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.0196663	0.1024644	0.0447764	0.04477642	0.4392112
31	1	-103.2109	-107.3878	4.176864	0.03037024	0.06518006	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.00969423	0.09032007	0.0303702	0.03037024	0.3192016
32	0	-103.5764	-107.791	4.214555	0.02885752	0.08555783	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.00352059	0.08443802	0.0288575	0.02885752	0.1219991
