Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
14	0	-47.17453	-59.23941	12.06488	0.002407267	0.009549957	0.0775396	0.0009007318	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.00672403	0.006519757	0.0775396	0.00240727	0.00954996	0.08949683	0.07513145
15	1	-56.29417	-68.34993	12.05576	0.02367365	0.02006609	0.03585077	0.01832865	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.0141406	0.02460668	0.0358508	0.0236737	0.0200661	0.07959051	0.1776665
16	0	-49.09306	-60.74774	11.65468	0.004875185	0.0166833	0.08003503	0.0006956938	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.0141064	0.005491212	0.080035	0.00487518	0.0166833	0.1015935	0.1388515
17	1	-63.54971	-72.44927	8.899566	0.05034517	0.09622403	0.01608461	0.02993273	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.0539359	0.03848498	0.0160846	0.0503452	0.096224	0.1626538	0.3315993
18	0	-48.46813	-60.22453	11.7564	0.0136764	0.005824481	0.08003503	0.001366928	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.00143597	0.001835133	0.080035	0.0136764	0.00582448	0.0995359	0.01442669
19	1	-58.09014	-69.96291	11.87277	0.05934047	0.003212089	0.02025693	0.02163208	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.0197885	0.02835796	0.0202569	0.0593405	0.00321209	0.08280949	0.2389647
20	0	-45.63907	-58.27207	12.633	0.004392267	0.00427344	0.0661588	0.0006901947	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.00124187	0.001168105	0.0661588	0.00439227	0.00427344	0.07482451	0.01659708
21	1	-56.00881	-67.55873	11.54992	0.05701504	0.006044999	0.0320326	0.009820498	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.008806	0.02954986	0.0320326	0.057015	0.006045	0.09509264	0.09260447
22	0	-48.48625	-60.38054	11.89429	0.006441109	0.004523058	0.08425286	0.0009366398	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.0321655	0.003562522	0.0842529	0.00644111	0.00452306	0.09521703	0.3378123
23	1	-54.23742	-66.24467	12.00726	0.004603183	0.04812224	0.03441729	0.01750854	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.00100006	0.003897099	0.0344173	0.00460318	0.0481222	0.08714271	0.01147609
24	0	-50.34858	-61.1461	10.79752	0.0003787371	0.01762899	0.1081002	0.0003551708	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.0607313	0.005920826	0.1081	0.000378737	0.017629	0.1261079	0.4815821
25	1	-54.23697	-64.79685	10.55988	0.003746876	0.01882626	0.1057413	0.01280458	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.00911674	0.009527929	0.105741	0.00374688	0.0188263	0.1283145	0.07104994
26	0	-47.35843	-58.53287	11.17444	0.005186796	0.002853623	0.1081002	0.0004599116	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.00821922	0.002939315	0.1081	0.0051868	0.00285362	0.1161406	0.07076953
27	1	-47.38574	-58.63524	11.2495	0.001230351	0.004344774	0.1057413	0.008274308	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.0216991	0.004469658	0.105741	0.00123035	0.00434477	0.1113165	0.1949316
28	0	-47.63521	-58.53129	10.89608	0.004157729	0.01034603	0.1101222	0.000553843	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.043508	0.001042175	0.110122	0.00415773	0.010346	0.124626	0.3491087
29	1	-49.97077	-61.87166	11.9009	0.005711839	0.01401667	0.07496261	0.004623626	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.029183	0.001051949	0.0749626	0.00571184	0.0140167	0.09469112	0.308191
30	0	-46.86761	-58.09316	11.22555	0.003493929	0.00685543	0.104677	0.0002963861	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.00498175	0.001883585	0.104677	0.00349393	0.00685543	0.1150264	0.04330961
31	1	-43.99379	-56.14864	12.15485	0.0002229633	0.001767454	0.08593094	0.003379091	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0109409	0.0005478626	0.0859309	0.000222963	0.00176745	0.08792136	0.1244401
