Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
14	0	-148.9842	-161.1806	12.19638	0.005050836	0.004884572	0.07223405	0.002627199	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.0319006	0.01293116	0.0722341	0.00505084	0.00488457	0.08216946	0.3882296
15	1	-149.2404	-160.4613	11.22088	0.004255961	0.01747288	0.08106426	0.02127449	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.0556181	0.002578602	0.0810643	0.00425596	0.0174729	0.1027931	0.5410688
16	0	-149.7733	-161.7846	12.01132	0.001997452	0.01612757	0.06705619	0.005413324	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.0237734	0.01561654	0.0670562	0.00199745	0.0161276	0.08518121	0.2790924
17	1	-148.1349	-158.9012	10.76625	0.003396661	0.01207391	0.09911625	0.01581693	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.0622526	0.002456985	0.0991162	0.00339666	0.0120739	0.1145868	0.5432786
18	0	-150.7899	-162.7293	11.93942	0.00528406	0.01228557	0.06705619	0.004541759	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.0236229	0.02608245	0.0670562	0.00528406	0.0122856	0.08462581	0.2791449
19	1	-150.7204	-160.9811	10.26067	0.007765499	0.01742852	0.09911625	0.007838381	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.0790237	0.01891232	0.0991162	0.0077655	0.0174285	0.1243103	0.6356974
20	0	-156.3783	-165.7784	9.40017	0.05010427	0.02650088	0.06705619	0.01644101	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.0960121	0.01261104	0.0670562	0.0501043	0.0265009	0.1436613	0.6683228
21	1	-150.46	-160.5311	10.07115	0.0007819815	0.03098405	0.09911625	0.008857033	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.0881682	0.008403147	0.0991162	0.000781982	0.030984	0.1308823	0.6736448
22	0	-151.469	-163.5721	12.10309	0.009091593	0.001351368	0.06705619	0.02367608	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.0371288	0.02142438	0.0670562	0.00909159	0.00135137	0.07749915	0.4790861
23	1	-153.7841	-164.5023	10.71822	0.02768859	0.0004282727	0.08127795	0.03598004	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.0736933	0.009567481	0.081278	0.0276886	0.000428273	0.1093948	0.6736448
