Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
14	0	-137.6935	-138.8064	1.112843	0.08020416	0.1625967	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.00860545	0.1343762	0.0802042	0.08020416	0.1072943
15	1	-137.6959	-136.6159	-1.079948	0.1218834	0.1195157	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.0502805	0.1595634	0.121883	0.1218834	0.4125297
16	0	-137.6222	-139.8827	2.26044	0.06656174	0.1457783	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.00220581	0.1140664	0.0665617	0.06656174	0.03313938
17	1	-137.1336	-137.3125	0.1788392	0.1011515	0.1541671	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.0257129	0.1170069	0.101151	0.1011515	0.2542018
18	0	-142.6706	-142.2415	-0.4291371	0.08632296	0.1592821	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.0157003	0.2570702	0.086323	0.08632296	0.1818791
19	1	-136.1078	-137.4645	1.35667	0.1011515	0.06035399	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.00579331	0.09303685	0.101151	0.1011515	0.05727365
20	0	-137.5985	-140.3667	2.768206	0.0642619	0.1102545	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.00631748	0.1119006	0.0642619	0.0642619	0.0983083
21	1	-135.0004	-138.2978	3.297456	0.07530077	0.05908714	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.018482	0.04732698	0.0753008	0.07530077	0.2454425
22	0	-133.7343	-136.0336	2.299299	0.09529303	0.06349131	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.0311149	0.02897365	0.095293	0.09529303	0.3265178
23	1	-135.219	-137.8666	2.647633	0.07530077	0.119147	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.0113767	0.05224936	0.0753008	0.07530077	0.1510833
