Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
15	1	-96.70619	-101.6526	4.946417	0.1642342	0.004915045	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.0778416	0.001395648	0.164234	0.1642342	0.4739673
16	0	-95.55951	-100.9772	5.417703	0.1251166	0.009998521	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.0112821	0.001170207	0.125117	0.1251166	0.09017244
17	1	-96.15457	-101.0765	4.921966	0.1642342	0.006114431	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.0411475	0.002641356	0.164234	0.1642342	0.2505417
18	0	-97.57954	-102.9187	5.339164	0.1251166	0.01759201	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.0153857	0.001430639	0.125117	0.1251166	0.1229712
19	1	-99.56984	-104.3317	4.761899	0.1642342	0.02339812	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.0471913	0.00136437	0.164234	0.1642342	0.2873413
20	0	-99.63317	-105.1211	5.487906	0.1105084	0.02272873	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0102553	0.0008337378	0.110508	0.1105084	0.09280094
21	1	-101.3952	-106.3519	4.956794	0.1450588	0.02967029	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.0473749	0.001086545	0.145059	0.1450588	0.3265911
22	0	-96.66642	-102.3035	5.637109	0.1105084	0.006045011	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.0140405	0.002597153	0.110508	0.1105084	0.1270541
23	1	-97.59755	-102.7102	5.112642	0.1450588	0.01451333	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.00587003	0.0006586504	0.145059	0.1450588	0.04046658
24	0	-97.14084	-102.7696	5.628761	0.1105084	0.006234924	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.0163941	0.003242034	0.110508	0.1105084	0.1483517
