Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
16	0	-90.73118	-91.52702	0.795836	0.1103298	0.08629331	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.0756342	0.04664721	0.11033	0.1103298	0.6855279
17	1	-88.56842	-92.18383	3.615409	0.06499396	0.09130337	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0490325	0.0294903	0.064994	0.06499396	0.754416
18	0	-92.21852	-93.32221	1.103692	0.09599563	0.06847442	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.0932378	0.1189886	0.0959956	0.09599563	0.9712708
19	1	-90.12088	-93.64448	3.523601	0.05455077	0.06953166	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.023681	0.122594	0.0545508	0.05455077	0.4341097
20	0	-88.11083	-89.94763	1.8368	0.104901	0.01786907	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.0762062	0.04328412	0.104901	0.104901	0.7264589
21	1	-88.33206	-90.84837	2.516307	0.08569338	0.03554528	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.0577006	0.07196862	0.0856934	0.08569338	0.6733376
22	0	-86.71416	-91.37908	4.664917	0.05845219	0.0218863	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.0424631	0.03288908	0.0584522	0.05845219	0.7264589
23	1	-87.6785	-92.24016	4.561653	0.05057192	0.05638468	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.0284796	0.05561547	0.0505719	0.05057192	0.5631502
24	0	-87.04537	-91.70799	4.662618	0.05929572	0.01526977	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.0231041	0.03471536	0.0592957	0.05929572	0.3896417
25	1	-90.65223	-96.71137	6.059142	0.02495582	0.03632165	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.0105662	0.07838051	0.0249558	0.02495582	0.4233944
26	0	-87.64449	-93.47834	5.833856	0.04215628	0.0026084	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.0220138	0.03225604	0.0421563	0.04215628	0.5221949
27	1	-91.38375	-97.26753	5.883777	0.03247194	0.005793481	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.0139943	0.08171399	0.0324719	0.03247194	0.4309652
28	0	-87.89187	-92.85214	4.960278	0.05355167	0.01694365	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.00958794	0.03746043	0.0535517	0.05355167	0.1790409
29	1	-87.71513	-93.45301	5.737877	0.03431122	0.04903741	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.00727304	0.04211382	0.0343112	0.03431122	0.2119727
30	0	-87.48601	-93.78752	6.301503	0.03320716	0.01437568	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.0152701	0.02698357	0.0332072	0.03320716	0.4598426
31	1	-88.35674	-93.12394	4.767192	0.04893281	0.0859883	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.0198522	0.01521293	0.0489328	0.04893281	0.4057031
32	0	-86.91609	-92.44824	5.532147	0.0482045	0.01387639	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.0189875	0.01516369	0.0482045	0.0482045	0.3938953
33	1	-87.36195	-93.07712	5.715172	0.04121944	0.0252578	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.0258932	0.02705048	0.0412194	0.04121944	0.6281791
34	0	-86.75962	-92.01846	5.25884	0.0482045	0.02727487	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.0164084	0.02909592	0.0482045	0.0482045	0.3403923
35	1	-87.58133	-93.18284	5.60151	0.04121944	0.03969549	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.00405902	0.02397902	0.0412194	0.04121944	0.09847342
36	0	-87.27769	-92.27638	4.998695	0.04954092	0.01743596	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.0323226	0.05699585	0.0495409	0.04954092	0.6524419
37	1	-87.29876	-92.20649	4.907729	0.05026881	0.02924638	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0151679	0.0499501	0.0502688	0.05026881	0.3017358
38	0	-88.09956	-92.0306	3.931042	0.05893018	0.05382301	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.028572	0.07149516	0.0589302	0.05893018	0.4848442
39	1	-89.96388	-93.43808	3.474196	0.05979602	0.09365662	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.0502462	0.07219324	0.059796	0.05979602	0.8402932
40	0	-89.96159	-93.04522	3.083622	0.05685509	0.1032313	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.0341367	0.1191784	0.0568551	0.05685509	0.6004156
41	1	-90.10615	-93.16304	3.056886	0.05769044	0.1188215	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.0392316	0.1012904	0.0576904	0.05769044	0.6800367
42	0	-87.43706	-93.96671	6.529647	0.03047801	0.01121101	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.00847026	0.02357605	0.030478	0.03047801	0.2779138
43	1	-87.1047	-93.07759	5.972888	0.03602008	0.02073854	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.0156816	0.03674152	0.0360201	0.03602008	0.4353563
44	0	-87.3106	-93.4401	6.129499	0.0344845	0.008418574	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0120323	0.0425392	0.0344845	0.0344845	0.3489191
45	1	-88.14205	-94.09177	5.94972	0.03173845	0.01796193	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.0047677	0.06731647	0.0317384	0.03173845	0.1502185
46	0	-89.14423	-94.98964	5.845411	0.039147	0.006551737	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.0306028	0.04506657	0.039147	0.039147	0.7817404
47	1	-88.45313	-94.49817	6.045039	0.03602966	0.009701684	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.0245116	0.04050622	0.0360297	0.03602966	0.6803181
48	0	-89.34965	-94.7552	5.40555	0.039147	0.01546788	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.00249655	0.08013651	0.039147	0.039147	0.06377374
49	1	-86.97038	-93.07218	6.101796	0.03602966	0.01270051	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.00160982	0.03183168	0.0360297	0.03602966	0.04468052
