Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
17	1	-87.63982	-90.94247	3.302656	0.3154108	0.003120701	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.155079	0.01066729	0.315411	0.3154108	0.4916724
18	0	-84.62036	-89.02548	4.405119	0.2117181	0.001129443	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.0634187	0.02073866	0.211718	0.2117181	0.299543
19	1	-86.91749	-90.22053	3.303033	0.3139627	0.0006916712	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.154367	0.01471112	0.313963	0.3139627	0.4916724
20	0	-84.69616	-89.0915	4.395333	0.2117181	0.0003800504	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.0581692	0.02246664	0.211718	0.2117181	0.2747486
21	1	-85.38229	-89.23207	3.849786	0.2645129	0.0002577961	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.138085	0.01689819	0.264513	0.2645129	0.5220362
22	0	-84.46996	-88.90898	4.439021	0.2117181	0.0008253578	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0468273	0.0176526	0.211718	0.2117181	0.2211775
23	1	-85.47129	-89.30658	3.835294	0.2645129	0.001035697	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.12671	0.01756946	0.264513	0.2645129	0.479033
24	0	-83.25458	-88.24655	4.991974	0.1641321	0.001538953	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0106738	0.0159453	0.164132	0.1641321	0.06503154
25	1	-83.45215	-88.61169	5.159533	0.1462714	0.0004135274	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.0047766	0.02069612	0.146271	0.1462714	0.03265571
26	0	-84.04714	-89.00536	4.95822	0.1641321	0.005177076	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.00383798	0.01568262	0.164132	0.1641321	0.0233835
27	1	-83.21013	-88.39376	5.183634	0.1462714	0.001083036	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.00263555	0.0176165	0.146271	0.1462714	0.01801819
28	0	-83.8509	-88.90765	5.056759	0.1642159	0.002748694	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.00802595	0.008161375	0.164216	0.1642159	0.04887439
29	1	-83.13824	-88.32872	5.190482	0.1463461	0.00153538	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.000161733	0.01639412	0.146346	0.1463461	0.001105143
30	0	-83.5991	-88.49125	4.892144	0.1771943	0.001523338	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.0094149	0.01103835	0.177194	0.1771943	0.05313318
31	1	-86.15979	-91.32764	5.167847	0.1556499	0.001341263	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.0495956	0.008234995	0.15565	0.1556499	0.3186359
32	0	-83.92218	-88.77032	4.848141	0.1771943	0.003292179	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.0124288	0.01366978	0.177194	0.1771943	0.07014243
33	1	-83.46585	-88.6325	5.166652	0.1556499	0.001300855	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.0102957	0.008394869	0.15565	0.1556499	0.06614684
34	0	-86.66703	-91.45442	4.78739	0.1771943	0.01456754	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.0106724	0.008469522	0.177194	0.1771943	0.06022997
35	1	-84.50155	-89.53005	5.028501	0.1556499	0.007456014	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.00568882	0.0160549	0.15565	0.1556499	0.03654885
36	0	-86.89603	-91.47259	4.576554	0.1889637	0.01330953	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.0114798	0.01738076	0.188964	0.1889637	0.06075126
37	1	-83.95081	-88.81509	4.864282	0.1725355	0.003504968	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.010441	0.01715909	0.172536	0.1725355	0.06051508
38	0	-84.0021	-89.08282	5.080727	0.1523508	0.004830428	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.0057576	0.01722254	0.152351	0.1523508	0.03779176
39	1	-84.14936	-89.02947	4.880113	0.1725355	0.004943861	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0156432	0.0141371	0.172536	0.1725355	0.09066682
40	0	-85.98077	-91.1555	5.174723	0.1523508	0.005565947	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.0298995	0.007087404	0.152351	0.1523508	0.1962546
41	1	-83.50385	-88.46376	4.959917	0.1725355	0.001260783	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.00445425	0.009839744	0.172536	0.1725355	0.02581644
42	0	-84.42429	-89.42627	5.001974	0.1560077	0.004162142	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.013992	0.02159313	0.156008	0.1560077	0.08968812
