Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
96	1	-239.7765	-243.3796	3.603149	0.01841141	0.08179067
97	2	-239.7765	-243.3796	3.603149	0.01841141	0.08179067
98	3	-241.4107	-244.5584	3.147668	0.08413485	0.06161535
99	4	-240.785	-244.1191	3.334107	0.03919669	0.08790962
100	0	-240.6302	-243.8751	3.24493	0.1251346	0.01088939
101	1	-240.7732	-243.5892	2.816008	0.01136408	0.1675522
102	2	-240.7732	-243.5892	2.816008	0.01136408	0.1675522
103	3	-241.3061	-243.9831	2.676949	0.09328457	0.0995376
104	4	-240.6262	-243.7973	3.171062	0.03929409	0.1041167
105	0	-240.3165	-243.6877	3.37116	0.1120495	0.01135157
106	1	-240.0939	-243.4774	3.383516	0.0199169	0.1022485
107	2	-240.0939	-243.4774	3.383516	0.0199169	0.1022485
108	3	-242.0044	-243.5213	1.516898	0.2711233	0.0377039
109	4	-240.2989	-243.544	3.245084	0.04542543	0.09058322
110	0	-239.7605	-243.8164	4.055859	0.04641138	0.008519735
111	1	-240.2618	-243.5381	3.276278	0.05992804	0.07296113
112	2	-240.2618	-243.5381	3.276278	0.05992804	0.07296113
113	3	-243.2513	-245.176	1.924714	0.2548321	0.01321357
114	4	-240.1437	-243.6406	3.496908	0.06646481	0.0443614
115	0	-240.5826	-243.5607	2.978196	0.1414578	0.02123959
116	1	-241.0827	-243.9317	2.848931	0.1028827	0.07274119
117	2	-241.0827	-243.9317	2.848931	0.1028827	0.07274119
118	3	-241.4974	-243.4057	1.908306	0.251994	0.01769243
119	4	-240.729	-244.1476	3.418618	0.07888621	0.03976899
120	0	-242.2893	-245.7201	3.430819	0.1045851	0.01285003
121	1	-241.3982	-243.9172	2.519066	0.1190935	0.08951701
122	2	-241.3982	-243.9172	2.519066	0.1190935	0.08951701
123	3	-241.4523	-244.3199	2.867551	0.1632475	0.01051445
124	4	-243.5064	-245.5469	2.040435	0.1920933	0.0643802
125	0	-240.4275	-244.0355	3.608012	0.09013934	0.009576452
126	1	-243.6729	-244.2684	0.5954949	0.1965911	0.2043764
127	2	-243.6729	-244.2684	0.5954949	0.1965911	0.2043764
128	3	-240.7746	-243.9558	3.181271	0.1327104	0.009679478
129	4	-244.8045	-243.7634	-1.041192	0.4843041	0.08033209
130	0	-239.795	-243.7517	3.956662	0.04325926	0.02159153
131	1	-243.1555	-243.7324	0.5768452	0.1912333	0.2115992
132	2	-243.1555	-243.7324	0.5768452	0.1912333	0.2115992
133	3	-240.2036	-243.7319	3.528293	0.09034432	0.01734336
134	4	-242.5482	-244.7913	2.243155	0.06483224	0.1713693
135	0	-239.8476	-243.6717	3.824101	0.03409613	0.0440108
136	1	-242.0978	-243.6195	1.521657	0.1256341	0.1827172
137	2	-242.0978	-243.6195	1.521657	0.1256341	0.1827172
138	3	-240.639	-243.6357	2.996618	0.1450758	0.01577949
139	4	-241.2806	-243.5739	2.293315	0.1348665	0.09631901
140	0	-239.5733	-243.4242	3.85084	0.0303684	0.04506459
141	1	-241.1615	-243.7196	2.558186	0.04714657	0.1575519
142	2	-241.1615	-243.7196	2.558186	0.04714657	0.1575519
143	3	-241.5908	-244.7411	3.150274	0.1325381	0.01295149
144	4	-240.7957	-243.6357	2.839978	0.08464782	0.09187143
145	0	-242.3024	-245.9746	3.672238	0.03939781	0.05389538
146	1	-242.017	-244.2643	2.247332	0.03942549	0.1963583
147	2	-242.017	-244.2643	2.247332	0.03942549	0.1963583
148	3	-240.9666	-244.4592	3.492543	0.1035495	0.007713261
149	4	-241.0174	-244.0324	3.015012	0.04934735	0.1096684
150	0	-239.5318	-243.5502	4.018377	0.01245608	0.04622326
151	1	-241.6826	-244.2059	2.523288	0.03677447	0.1714137
152	2	-241.6826	-244.2059	2.523288	0.03677447	0.1714137
153	3	-239.8506	-243.6568	3.806178	0.07332857	0.006570642
154	4	-241.2914	-244.4632	3.171772	0.07795737	0.06538245
155	0	-240.0362	-244.1464	4.110175	0.01334186	0.03615764
156	1	-241.4357	-243.4796	2.043927	0.08471063	0.1714137
157	2	-241.4357	-243.4796	2.043927	0.08471063	0.1714137
158	3	-240.9721	-243.5878	2.615716	0.1466308	0.05231467
159	4	-241.1041	-243.5587	2.454591	0.09307245	0.1219854
160	0	-239.7411	-243.632	3.890975	0.04423389	0.0271856
161	1	-242.1843	-243.9086	1.724274	0.2017718	0.08631787
162	2	-242.1843	-243.9086	1.724274	0.2017718	0.08631787
163	3	-241.7403	-243.6207	1.880362	0.2220783	0.05040244
164	4	-242.0373	-244.1816	2.144343	0.1321077	0.113975
165	0	-240.3203	-244.1906	3.870375	0.05107794	0.02240154
166	1	-241.4838	-243.4543	1.970502	0.2349294	0.02853737
167	2	-241.4838	-243.4543	1.970502	0.2349294	0.02853737
168	3	-241.0281	-244.1261	3.097972	0.1276714	0.02304846
169	4	-241.2322	-244.2179	2.985685	0.09625477	0.06569379
170	0	-241.3958	-245.2922	3.89642	0.04596299	0.024912
171	1	-244.7619	-244.6845	-0.07739171	0.4267148	0.04154142
172	2	-244.7619	-244.6845	-0.07739171	0.4267148	0.04154142
173	3	-241.149	-244.7186	3.569593	0.07348566	0.03007207
174	4	-241.2045	-244.3439	3.139396	0.04523725	0.1013401
175	0	-239.8919	-243.8223	3.930473	0.0341145	0.03335521
176	1	-244.6545	-243.7029	-0.9516004	0.4210686	0.1346085
177	2	-244.6545	-243.7029	-0.9516004	0.4210686	0.1346085
178	3	-239.6333	-243.4041	3.770809	0.0194654	0.0639707
179	4	-244.0038	-244.6368	0.6329969	0.09374368	0.3034737
180	0	-239.8902	-243.9367	4.046505	0.02938063	0.02648592
181	1	-241.3879	-243.4173	2.029461	0.1671923	0.09037865
182	2	-241.3879	-243.4173	2.029461	0.1671923	0.09037865
183	3	-241.5748	-245.1445	3.569697	0.02570523	0.07784205
184	4	-240.5213	-243.9325	3.411162	0.04292315	0.0764777
185	0	-239.7583	-243.9524	4.194091	0.01638861	0.0247193
186	1	-241.5746	-243.4005	1.825881	0.1332361	0.1446929
187	2	-241.5746	-243.4005	1.825881	0.1332361	0.1446929
188	3	-243.3077	-245.9624	2.654612	0.03633656	0.1587193
189	4	-239.8065	-243.3693	3.56281	0.03359227	0.07064373
190	0	-240.0583	-243.7331	3.67481	0.07942382	0.01361223
191	1	-242.5522	-244.9267	2.374426	0.06798276	0.1550916
192	2	-242.5522	-244.9267	2.374426	0.06798276	0.1550916
193	3	-240.2682	-243.4995	3.231213	0.0466875	0.0907082
194	4	-239.7337	-243.5468	3.813075	0.009861388	0.06934818
195	0	-239.9631	-243.7825	3.819395	0.06320634	0.01537121
196	1	-243.5733	-244.3748	0.8014811	0.09507641	0.2852925
197	2	-243.5733	-244.3748	0.8014811	0.09507641	0.2852925
198	3	-241.3048	-243.9916	2.686826	0.06505474	0.1267797
199	4	-241.3588	-243.9648	2.605927	0.02410602	0.1758183
200	0	-240.1767	-244.0401	3.86344	0.06153909	0.01263396
201	1	-243.2908	-244.4391	1.148287	0.1651991	0.1804892
202	2	-243.2908	-244.4391	1.148287	0.1651991	0.1804892
203	3	-243.3743	-246.6878	3.313509	0.04164421	0.08752195
204	4	-240.7713	-243.6501	2.878843	0.01868767	0.153945
205	0	-239.2643	-243.4608	4.196539	0.02414004	0.01672311
206	1	-241.1588	-243.7399	2.581091	0.07993758	0.1224703
207	2	-241.1588	-243.7399	2.581091	0.07993758	0.1224703
208	3	-243.1418	-244.7074	1.565529	0.02268548	0.2812786
209	4	-240.8522	-243.6495	2.7973	0.02219656	0.1585905
210	0	-239.9283	-244.1155	4.187217	0.03161961	0.01017569
211	1	-241.2178	-244.3616	3.14379	0.08328604	0.06285197
212	2	-241.2178	-244.3616	3.14379	0.08328604	0.06285197
213	3	-239.7507	-243.4787	3.727966	0.01481438	0.07290601
214	4	-240.9043	-244.1057	3.201399	0.0336609	0.1067162
215	0	-240.1662	-244.2295	4.063326	0.04365493	0.01052949
216	1	-240.2295	-243.6833	3.45373	0.0573379	0.05780614
217	2	-240.2295	-243.6833	3.45373	0.0573379	0.05780614
218	3	-239.4893	-243.4526	3.963328	0.020008	0.04417623
219	4	-242.3985	-245.0271	2.628589	0.08566198	0.1119961
220	0	-240.5958	-243.8153	3.219479	0.1253087	0.01326039
221	1	-242.1784	-244.9246	2.746199	0.1128116	0.07308552
222	2	-242.1784	-244.9246	2.746199	0.1128116	0.07308552
223	3	-240.584	-243.976	3.391958	0.09497986	0.02634136
224	4	-240.8776	-244.1817	3.30411	0.08068894	0.04941703
225	0	-240.287	-243.5225	3.23551	0.1083802	0.02858583
226	1	-240.6964	-243.4658	2.76935	0.1179947	0.0655873
227	2	-240.6964	-243.4658	2.76935	0.1179947	0.0655873
228	3	-242.4812	-243.5813	1.100166	0.329969	0.02053142
229	4	-241.6777	-243.5032	1.825516	0.2523854	0.02557998
230	0	-241.0874	-244.2875	3.200084	0.0795041	0.06100457
231	1	-240.6343	-243.5854	2.951103	0.07073165	0.09467502
232	2	-240.6343	-243.5854	2.951103	0.07073165	0.09467502
233	3	-244.9024	-244.684	-0.2183939	0.416477	0.06587942
234	4	-245.5306	-244.5033	-1.027306	0.4269523	0.1362953
235	0	-241.3197	-244.2297	2.909966	0.09203703	0.07748343
236	1	-242.2049	-243.7206	1.515688	0.1034941	0.2054541
237	2	-242.2049	-243.7206	1.515688	0.1034941	0.2054541
238	3	-241.7406	-243.8856	2.144996	0.1354523	0.1105651
239	4	-245.4462	-243.5066	-1.93964	0.4553025	0.1991785
240	0	-242.5234	-244.8785	2.35516	0.05805371	0.1669474
241	1	-242.6405	-243.8969	1.256376	0.1733158	0.1615636
242	2	-242.6405	-243.8969	1.256376	0.1733158	0.1615636
243	3	-241.9422	-243.5684	1.626171	0.1246106	0.1732894
244	4	-245.8765	-244.2896	-1.586916	0.3265811	0.2926275
245	0	-241.5681	-244.5556	2.987531	0.03893783	0.1228261
246	1	-243.6548	-244.5478	0.8929887	0.1566635	0.2145546
247	2	-243.6548	-244.5478	0.8929887	0.1566635	0.2145546
248	3	-242.2914	-244.1688	1.877408	0.0855009	0.1872753
249	4	-243.2196	-244.921	1.701412	0.09256489	0.1978109
250	0	-239.6202	-243.5401	3.919929	0.01729432	0.05122984
251	1	-244.0767	-243.3944	-0.6823075	0.1675471	0.3612007
252	2	-244.0767	-243.3944	-0.6823075	0.1675471	0.3612007
253	3	-240.122	-243.614	3.492036	0.07958859	0.03172483
254	4	-240.6239	-243.7795	3.155654	0.04714904	0.09780261
255	0	-240.1797	-244.0205	3.840795	0.009126855	0.06731065
256	1	-244.2527	-244.3737	0.1209855	0.09720433	0.3512141
257	2	-244.2527	-244.3737	0.1209855	0.09720433	0.3512141
258	3	-239.4656	-243.6839	4.218276	0.008357627	0.0303318
259	4	-239.9878	-243.4396	3.451846	0.02339828	0.09193411
260	0	-239.8208	-243.9137	4.092942	0.009486035	0.04173676
261	1	-240.1346	-243.6482	3.513628	0.04804704	0.06110713
262	2	-240.1346	-243.6482	3.513628	0.04804704	0.06110713
263	3	-239.2022	-243.6014	4.399194	0.008458635	0.01213897
264	4	-241.7034	-245.4904	3.787046	0.01434707	0.06746532
265	0	-239.8318	-243.689	3.857141	0.0113267	0.06347623
266	1	-244.3883	-247.1651	2.77678	0.02261589	0.1602231
267	2	-244.3883	-247.1651	2.77678	0.02261589	0.1602231
268	3	-241.1986	-245.3701	4.171544	0.003889788	0.03947281
269	4	-243.0717	-246.8222	3.750487	0.008632335	0.07683597
270	0	-241.3847	-243.5279	2.143234	0.1953337	0.0508599
271	1	-240.8736	-243.9437	3.070148	0.05101772	0.1024845
272	2	-240.8736	-243.9437	3.070148	0.05101772	0.1024845
273	3	-240.1618	-244.05	3.888241	0.006868924	0.06482398
274	4	-240.5129	-243.9409	3.428	0.03419033	0.0835267
275	0	-240.8782	-243.8679	2.98973	0.1223592	0.03918488
276	1	-239.1976	-243.4633	4.265709	0.01530513	0.01864096
277	2	-239.1976	-243.4633	4.265709	0.01530513	0.01864096
