Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
15	3	-33.10156	-48.08602	14.98447	0.01096377	0.0158604	0.003337169	0.01511442	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.00349609	0.008122762	0.00333717	0.0109638	0.0158604	0.03016134	0.1159128
16	0	-40.29287	-51.45891	11.16604	0.009884186	0.00996463	0.02690758	0.1479494	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.022583	0.1437914	0.0269076	0.00988419	0.00996463	0.0467564	0.4829923
17	1	-37.69542	-51.70083	14.00541	0.008199466	0.01405099	0.005400927	0.07869467	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.00813271	0.05959101	0.00540093	0.00819947	0.014051	0.02765138	0.2941158
18	2	-32.8328	-47.44865	14.61585	0.006973638	0.007697858	0.01559268	0.01138194	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.000409985	0.04801457	0.0155927	0.00697364	0.00769786	0.03026417	0.01354688
19	3	-35.36026	-49.20508	13.84482	8.165668e-05	0.02373236	0.01567295	0.05536143	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.0147661	0.01814968	0.015673	8.16567e-05	0.0237324	0.03948697	0.373949
20	0	-41.343	-52.5452	11.2022	0.03294033	0.01804569	0.01055612	0.128143	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.0352176	0.05899947	0.0105561	0.0329403	0.0180457	0.06154215	0.5722523
21	1	-37.25387	-49.92004	12.66618	0.01283071	0.007140908	0.0387995	0.02626671	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.0187295	0.03340308	0.0387995	0.0128307	0.00714091	0.05877111	0.3186848
22	2	-33.11458	-47.0816	13.96703	0.006635715	0.002202662	0.03328854	0.00215042	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.0063891	0.04110949	0.0332885	0.00663571	0.00220266	0.04212692	0.1516632
23	3	-34.99316	-48.59325	13.60008	0.0001558046	0.001972272	0.03823783	0.07955359	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.00236635	0.0124278	0.0382378	0.000155805	0.00197227	0.04036591	0.05862242
24	0	-41.76292	-54.04155	12.27863	0.02272854	0.01866947	0.007802696	0.09259116	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.0371917	0.07119653	0.0078027	0.0227285	0.0186695	0.04920071	0.7559188
25	1	-33.8407	-48.75585	14.91515	0.003908046	0.002791387	0.01971965	0.03135472	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.00857108	0.02437313	0.0197196	0.00390805	0.00279139	0.02641908	0.3244276
26	2	-34.56721	-48.42777	13.86056	0.02101992	0.01431191	0.01087555	0.009169981	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.0167312	0.01686782	0.0108756	0.0210199	0.0143119	0.04620738	0.3620889
27	3	-37.78796	-50.04857	12.26061	0.005708901	0.00413039	0.0464414	0.05743489	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.0223556	0.05980067	0.0464414	0.0057089	0.00413039	0.05628069	0.3972166
28	0	-37.79474	-50.6556	12.86086	0.02272854	0.006912723	0.01220522	0.08615931	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.00806079	0.06963214	0.0122052	0.0227285	0.00691272	0.04184649	0.1926277
29	1	-31.49155	-46.82673	15.33519	0.009177639	0.00585034	0.01069701	0.01308305	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.00424645	0.005381298	0.010697	0.00917764	0.00585034	0.02572499	0.1650709
30	2	-37.29426	-49.87633	12.58207	0.01334125	0.03158802	0.01816648	0.01861319	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.0373473	0.01993159	0.0181665	0.0133412	0.031588	0.06309575	0.5919151
31	3	-34.30315	-49.02852	14.72538	0.02410681	0.005418927	0.003321421	0.02125651	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.00874429	0.009546471	0.00332142	0.0241068	0.00541893	0.03284716	0.2662114
32	0	-36.38063	-49.67952	13.29889	0.005294971	0.003524117	0.02227707	0.1042864	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.00174488	0.08112364	0.0222771	0.00529497	0.00352412	0.03109616	0.05611253
33	1	-29.62922	-44.34171	14.71249	0.01407475	0.0001298724	0.02200015	0.005020386	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.00236688	0.004139316	0.0220001	0.0140747	0.000129872	0.03620477	0.06537476
34	2	-40.20358	-53.98737	13.7838	0.02429422	0.002735047	0.00408825	0.100895	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.0184189	0.03587897	0.00408825	0.0242942	0.00273505	0.03111752	0.5919134
35	3	-31.89078	-46.60556	14.71478	0.006896436	0.003729006	0.02199995	0.01924599	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.00896983	0.01413096	0.022	0.00689644	0.00372901	0.0326254	0.2749338
36	0	-36.87166	-50.66767	13.79601	0.007537536	0.001385878	0.02704466	0.03303862	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.0195824	0.06938608	0.0270447	0.00753754	0.00138588	0.03596807	0.5444376
37	1	-32.01218	-46.37811	14.36593	0.01392866	0.000498525	0.02494959	0.00363387	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.0157908	0.01851875	0.0249496	0.0139287	0.000498525	0.03937677	0.4010194
38	2	-36.85406	-50.26887	13.41481	0.0111686	0.001929329	0.01599973	0.09848523	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.00427899	0.08898278	0.0159997	0.0111686	0.00192933	0.02909766	0.147056
39	3	-29.38259	-44.68099	15.2984	0.006906734	0.002080214	0.01837219	0.004733764	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.00504252	0.006248111	0.0183722	0.00690673	0.00208021	0.02735914	0.1843085
40	0	-36.37988	-49.4401	13.06021	0.001939389	0.0006127734	0.04995587	0.03480678	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0384757	0.0282345	0.0499559	0.00193939	0.000612773	0.05250803	0.7327588
41	1	-31.65828	-46.32257	14.66429	0.0004048395	0.009123155	0.02494959	0.001891332	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.0127906	0.02388526	0.0249496	0.000404839	0.00912316	0.03447758	0.3709842
42	2	-43.2007	-54.39392	11.19321	0.03253804	0.008396754	0.03265967	0.03758616	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.0270343	0.06814079	0.0326597	0.032538	0.00839675	0.07359446	0.367341
43	3	-31.89714	-46.9434	15.04627	0.0155571	0.008338738	0.006478284	0.008321686	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.00366692	0.007282253	0.00647828	0.0155571	0.00833874	0.03037413	0.1207253
44	0	-33.53419	-47.28876	13.75457	0.007751611	0.009558263	0.02881095	0.01948619	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.0152981	0.017742	0.0288109	0.00775161	0.00955826	0.04612082	0.3316965
45	1	-29.9615	-44.65447	14.69297	8.214549e-06	0.01030313	0.02494959	0.006982859	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.00269324	0.01057586	0.0249496	8.21455e-06	0.0103031	0.03526093	0.07638018
46	2	-37.31623	-49.77784	12.46161	0.01977458	0.001049071	0.03998623	0.02269	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.0411173	0.04351238	0.0399862	0.0197746	0.00104907	0.06080988	0.6761609
47	3	-30.68086	-46.2149	15.53404	0.002537289	0.001677765	0.01796054	0.01274291	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.00303381	0.01007745	0.0179605	0.00253729	0.00167776	0.02217559	0.1368084
48	0	-28.83497	-43.51519	14.68021	0.0007211344	0.0005870439	0.03422422	0.0121029	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.00918801	0.004876875	0.0342242	0.000721134	0.000587044	0.0355324	0.2585812
