Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
18	0	-35.73909	-41.36157	5.622476	0.04668265	0.0003954344	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.0365867	0.001431801	0.0466827	0.04668265	0.783733
19	1	-31.53715	-37.72242	6.185267	0.03854951	0.0003618911	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.000833019	0.0007332073	0.0385495	0.03854951	0.02160908
20	0	-31.13576	-38.2719	7.136146	0.02452003	0.0001907822	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.00173608	0.001633677	0.02452	0.02452003	0.07080255
21	1	-32.46033	-38.41999	5.959663	0.04178843	0.0002580076	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.0192891	0.001276589	0.0417884	0.04178843	0.461589
22	0	-31.99817	-39.11747	7.1193	0.02452003	0.0001098922	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.00129971	0.003399145	0.02452	0.02452003	0.0530062
23	1	-32.72737	-38.67399	5.946617	0.04178843	0.0004833984	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.0141638	0.002355769	0.0417884	0.04178843	0.3389408
24	0	-35.39918	-42.97424	7.575055	0.0173539	0.000185879	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.000334842	0.006690331	0.0173539	0.0173539	0.01929491
25	1	-33.31913	-39.253	5.93387	0.04178843	0.001292831	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.00907607	0.002821092	0.0417884	0.04178843	0.2171909
26	0	-35.35562	-42.94209	7.58647	0.0173539	0.0004306088	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.00181334	0.005304067	0.0173539	0.0173539	0.1044921
27	1	-35.13169	-41.02635	5.894654	0.04178843	0.002673278	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.014882	0.005362267	0.0417884	0.04178843	0.3561266
