Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
16	0	-156.3241	-160.6391	4.314942	0.08349491	0.04365478	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.0205902	0.000780095	0.0834949	0.08349491	0.2466046
17	1	-157.7976	-163.1426	5.344963	0.06730789	0.00564071	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.0195966	0.00584714	0.0673079	0.06730789	0.2911487
18	2	-153.6843	-158.6533	4.969039	0.07403936	0.01814499	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.0242052	0.001802433	0.0740394	0.07403936	0.3269234
19	3	-159.7936	-163.8004	4.006762	0.09183035	0.003931082	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.056791	0.03524735	0.0918303	0.09183035	0.6184343
20	0	-154.4026	-158.9467	4.544106	0.08349491	0.02024615	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.0424159	0.001272375	0.0834949	0.08349491	0.5080059
21	1	-155.8749	-161.3848	5.509829	0.06263026	0.008220462	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.0108391	0.007024877	0.0626303	0.06263026	0.1730649
22	2	-153.6253	-158.176	4.550768	0.08367772	0.01818792	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.0306633	0.001873227	0.0836777	0.08367772	0.3664446
23	3	-158.7736	-162.6598	3.886284	0.09183035	0.02225337	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.0256505	0.02897282	0.0918303	0.09183035	0.2793248
24	0	-154.583	-159.0744	4.491394	0.08349491	0.02451292	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.0204225	0.002276782	0.0834949	0.08349491	0.2445955
25	1	-156.1203	-161.4376	5.317282	0.06263026	0.01065624	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.00358405	0.02384374	0.0626303	0.06263026	0.05722551
