Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
95	1	-34.29246	-34.10423	-0.1882273	0.108512	0.3708278
96	0	-31.05877	-34.42177	3.363007	0.08200351	0.04221281
97	1	-32.87904	-34.0942	1.21516	0.1988057	0.1401953
98	0	-30.98335	-34.70331	3.719957	0.06840288	0.0201184
99	1	-31.54223	-34.25587	2.713641	0.1228434	0.06630954
100	0	-32.26109	-35.9999	3.738813	0.06546489	0.02117084
101	1	-31.374	-34.13189	2.757885	0.1158974	0.06883118
102	0	-30.59289	-34.13499	3.542091	0.06792916	0.03837876
103	1	-30.26772	-34.08907	3.82135	0.05392664	0.02445535
104	0	-31.12199	-34.26332	3.14133	0.1164314	0.02995257
105	1	-30.40633	-34.36211	3.955776	0.05816194	0.006777472
106	0	-34.15157	-34.71674	0.5651673	0.2300404	0.1739599
107	1	-32.71701	-34.90081	2.183803	0.1904743	0.0516624
108	0	-33.97307	-34.88429	0.911216	0.2512469	0.1181486
109	1	-30.54285	-33.91977	3.376925	0.0505823	0.07224222
110	0	-34.38695	-34.94199	0.5550439	0.2944274	0.1105852
111	1	-31.25837	-34.16584	2.907473	0.1443328	0.02543701
112	0	-32.57654	-35.33908	2.762538	0.1379859	0.04627734
113	1	-32.48277	-35.22173	2.738959	0.1327033	0.05391779
114	0	-32.27968	-34.33313	2.053455	0.1985329	0.05663867
115	1	-31.59412	-34.66143	3.067314	0.09114685	0.06263879
116	0	-31.94161	-35.00802	3.066413	0.09667042	0.05720529
117	1	-31.37361	-34.24555	2.871944	0.05631487	0.1170077
118	0	-32.76822	-34.89301	2.124785	0.09695525	0.1510833
119	1	-33.6259	-36.56537	2.939476	0.1084559	0.05811347
120	0	-31.57516	-34.37221	2.797049	0.04416875	0.1366433
121	1	-33.38829	-35.70234	2.31405	0.1788049	0.05030718
122	0	-30.95021	-34.39728	3.44707	0.03424766	0.08156235
123	1	-32.69235	-34.82362	2.131276	0.1901928	0.05719662
124	0	-32.43265	-34.26668	1.834034	0.03267838	0.2444353
125	1	-32.84814	-34.08676	1.238615	0.1989632	0.1376923
126	0	-30.72255	-34.20976	3.487201	0.01864211	0.09315479
127	1	-32.90035	-34.11222	1.211871	0.1326614	0.2066685
128	0	-30.24582	-34.29393	4.048104	0.01620495	0.03950164
129	1	-30.98662	-34.17272	3.186106	0.07463434	0.06727208
130	0	-30.18642	-34.16771	3.981295	0.01459403	0.04779352
131	1	-30.72806	-34.35572	3.627656	0.05233984	0.04541158
132	0	-30.21399	-34.27662	4.06263	0.01195659	0.04229744
133	1	-32.43587	-35.3561	2.920229	0.101495	0.06699907
134	0	-30.65428	-33.99162	3.337342	0.01063448	0.1161483
135	1	-32.89393	-34.52352	1.629586	0.2086841	0.08887431
136	0	-31.47124	-34.3306	2.859363	0.009539263	0.1650415
137	1	-33.80834	-34.31433	0.5059907	0.03849397	0.371424
138	0	-31.52535	-34.40208	2.876731	0.02453953	0.1483044
139	1	-30.62906	-34.44089	3.811825	0.009829369	0.06950515
140	0	-33.39413	-34.46097	1.066835	0.02762126	0.3262123
141	1	-30.90771	-34.45465	3.546933	0.007096507	0.09872724
142	0	-34.66837	-36.64211	1.973746	0.02574417	0.2373983
143	1	-31.96785	-35.868	3.900155	0.01070681	0.05979466
144	0	-31.61244	-34.67095	3.058506	0.01424871	0.1404177
145	1	-31.59387	-35.6941	4.10023	0.009405322	0.04108867
146	0	-34.26411	-34.95403	0.6899235	0.0175237	0.374001
147	1	-30.55577	-34.35249	3.796718	0.033681	0.04716422
148	0	-32.45369	-34.16337	1.709683	0.08778637	0.2017624
149	1	-30.8001	-34.26284	3.462737	0.02381105	0.09043228
150	0	-30.98969	-34.19888	3.209199	0.02656553	0.1130316
151	1	-32.98057	-34.78014	1.799561	0.02207019	0.2584908
152	0	-33.76627	-34.42823	0.6619637	0.2427327	0.1515879
153	1	-36.7893	-34.35853	-2.430775	0.1111064	0.5924882
154	0	-31.57066	-34.29188	2.721217	0.05269331	0.135702
155	1	-34.49958	-35.00033	0.5007529	0.04570814	0.3647336
156	0	-30.90991	-34.14287	3.232962	0.03140849	0.1058124
157	1	-31.91193	-34.24815	2.336223	0.01128077	0.2156139
