Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
16	0	-52.18786	-57.02907	4.841208	0.09168744	0.008771914	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.00782709	0.002697388	0.0916874	0.09168744	0.08536712
17	1	-54.32851	-59.25448	4.925968	0.08645145	0.0146181	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.00646132	0.006664263	0.0864515	0.08645145	0.07473924
18	0	-51.84669	-56.69389	4.847199	0.09168744	0.009359537	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00179977	0.00151068	0.0916874	0.09168744	0.01962944
19	1	-55.06406	-59.96942	4.905363	0.08645145	0.02051321	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.00865629	0.002829652	0.0864515	0.08645145	0.1001289
20	0	-52.64613	-57.47274	4.826614	0.09168744	0.01214252	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0117488	0.0007861429	0.0916874	0.09168744	0.1281399
21	1	-60.46934	-62.05907	1.589732	0.1831184	0.01067419	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.0634559	0.006578341	0.183118	0.1831184	0.3465297
22	0	-52.81295	-57.08195	4.268994	0.1081878	0.00896869	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.00751024	0.002086983	0.108188	0.1081878	0.06941854
23	1	-58.16496	-59.46065	1.295692	0.1925295	0.008494982	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.0939237	0.005288702	0.19253	0.1925295	0.4878406
24	0	-53.571	-57.34133	3.770327	0.1223148	0.007980465	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.0408346	0.003596812	0.122315	0.1223148	0.3338482
25	1	-56.57013	-60.5168	3.946671	0.1167753	0.009550789	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.0687857	0.003741303	0.116775	0.1167753	0.5890435
26	0	-55.25096	-59.00094	3.749981	0.1223148	0.003352238	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.046965	0.01025959	0.122315	0.1223148	0.3839685
27	1	-55.36882	-59.17746	3.808631	0.120642	0.00443919	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.0542791	0.009150743	0.120642	0.120642	0.4499191
28	0	-54.20671	-58.12192	3.915213	0.1173549	0.007944406	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.0198955	0.006469158	0.117355	0.1173549	0.1695328
