Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
15	1	-32.93024	-36.64557	3.715327	0.06890988	0.04855854	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.00328751	0.08364445	0.0689099	0.06890988	0.04770743
16	0	-35.47621	-37.60534	2.129121	0.03053534	0.3279699	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.00326717	0.1574133	0.0305353	0.03053534	0.1069965
17	1	-32.51936	-35.56906	3.049698	0.06890988	0.1323974	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.0307521	0.06636853	0.0689099	0.06890988	0.4462654
18	0	-31.35645	-34.5803	3.223846	0.04620054	0.1490091	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.00114668	0.1474788	0.0462005	0.04620054	0.02481952
19	1	-30.98499	-35.41204	4.427055	0.03788227	0.1318417	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.0025975	0.08649899	0.0378823	0.03788227	0.06856768
20	0	-37.13143	-42.37287	5.241444	0.01246711	0.1701028	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.0060794	0.09565426	0.0124671	0.01246711	0.4876354
21	1	-36.05545	-40.54693	4.491471	0.01922419	0.1484904	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.00922828	0.1580055	0.0192242	0.01922419	0.4800348
22	0	-32.05854	-35.8707	3.812163	0.0544141	0.05875643	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.017317	0.1372569	0.0544141	0.0544141	0.3182438
23	1	-32.26046	-36.93266	4.672195	0.03816383	0.05915826	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.0108686	0.1332409	0.0381638	0.03816383	0.2847873
24	0	-31.482	-34.70268	3.220675	0.0544141	0.112848	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.00418715	0.1423141	0.0544141	0.0544141	0.07694968
