Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
14	0	-97.15832	-107.3449	10.18655	0.0002062012	0.01539869	0.1271209	0.006871163	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.0249143	0.02141096	0.127121	0.000206201	0.0153987	0.1427258	0.1745607
15	1	-94.13463	-104.2845	10.1499	0.001788823	0.004427364	0.1460996	0.008261981	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.0439077	0.01093973	0.1461	0.00178882	0.00442736	0.1523158	0.2882678
16	0	-92.19199	-102.7101	10.5181	0.003356897	0.002365834	0.1271209	0.003646557	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.0274071	0.004613194	0.127121	0.0033569	0.00236583	0.1328436	0.2063107
17	1	-93.73915	-104.1255	10.3864	0.008639192	0.001868598	0.1300574	0.006958977	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.0304067	0.004209551	0.130057	0.00863919	0.0018686	0.1405652	0.2163177
18	0	-92.45993	-102.8728	10.41286	0.003356897	0.008083685	0.1299113	0.001235536	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.0218915	0.006241195	0.129911	0.0033569	0.00808368	0.1413519	0.1548724
19	1	-91.21903	-101.7054	10.48634	0.0009312022	0.001153343	0.1300574	0.009133702	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.0116496	0.003234288	0.130057	0.000931202	0.00115334	0.132142	0.08815947
20	0	-91.39465	-101.941	10.54638	0.001397374	0.001906098	0.1299113	0.0008128826	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.00665686	0.004126037	0.129911	0.00139737	0.0019061	0.1332148	0.0499709
21	1	-91.34383	-101.8278	10.48396	0.002818	0.002887411	0.1300574	0.006442611	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.00235996	0.001351341	0.130057	0.002818	0.00288741	0.1357628	0.01738294
22	0	-93.74284	-104.4311	10.68823	0.004938427	0.003009344	0.112061	0.00057952	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.0122885	0.007725188	0.112061	0.00493843	0.00300934	0.1200088	0.102397
23	1	-92.16714	-102.7108	10.5437	0.0005095029	0.0006955935	0.1300574	0.006629969	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.0456385	0.001171431	0.130057	0.000509503	0.000695594	0.1312625	0.347689
24	0	-94.07043	-104.4022	10.33172	0.0005032042	0.01762545	0.1292863	0.0007506732	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.00853916	0.006781784	0.129286	0.000503204	0.0176255	0.1474149	0.05792602
