Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
96	0	-12.53439	-15.97693	3.442536	0.05144161	0.06482176
97	1	-12.82445	-16.14629	3.321841	0.05397989	0.07435299
98	0	-11.24824	-15.31019	4.06195	0.02533291	0.02898914
99	1	-11.11892	-15.25543	4.13651	0.02658291	0.02028306
100	0	-11.74626	-15.50013	3.753863	0.06105136	0.02407936
101	1	-11.89386	-15.58878	3.694924	0.06406381	0.02696078
102	0	-11.8137	-15.52955	3.715853	0.08186497	0.007066772
103	1	-11.9411	-15.60811	3.667002	0.08590444	0.007912405
104	0	-10.78989	-14.95924	4.169353	0.04067344	0.002908305
105	1	-10.82221	-14.96801	4.145803	0.04268039	0.003256322
106	0	-11.3009	-15.21219	3.911285	0.06774144	0.001647101
107	1	-11.3912	-15.26709	3.875888	0.071084	0.001844198
108	0	-10.89249	-15.01811	4.125625	0.04160615	0.006348341
109	1	-10.93975	-15.03724	4.097499	0.04365912	0.007108004
110	0	-10.8742	-15.00582	4.131624	0.04177178	0.005582814
111	1	-11.06754	-15.10951	4.04197	0.04536348	0.01095656
112	0	-12.6002	-16.01024	3.410041	0.102685	0.01682792
113	1	-11.87608	-15.59301	3.716936	0.04296708	0.04585633
114	0	-12.28447	-15.83616	3.551686	0.01687518	0.08847319
115	1	-11.24185	-15.26108	4.019238	0.03264302	0.0259502
116	0	-11.53373	-15.47065	3.936917	0.003012773	0.06381251
117	1	-11.87704	-15.61102	3.733979	0.01176809	0.075351
118	0	-11.89611	-16.11109	4.214986	0.003230877	0.03578754
119	1	-11.27963	-15.32801	4.048384	0.02440475	0.03127388
120	0	-11.77983	-15.56193	3.782092	0.008162038	0.07414577
121	1	-12.17911	-15.76412	3.585015	0.0593053	0.04271022
122	0	-13.04332	-16.27288	3.229556	0.01422818	0.1233332
123	1	-12.86438	-16.17018	3.305804	0.03475591	0.09518074
124	0	-14.60961	-17.18636	2.576751	0.01512768	0.1877142
125	1	-15.83796	-17.96934	2.13138	0.02503413	0.2223448
126	0	-11.71087	-15.5294	3.818522	0.005952224	0.07271257
127	1	-12.23084	-15.80563	3.574794	0.01220803	0.09082961
128	0	-12.60199	-16.01796	3.415973	0.001635817	0.1172839
129	1	-11.61159	-15.4889	3.877306	0.007002283	0.06578414
130	0	-11.48301	-15.47507	3.992059	0.006922461	0.05438864
131	1	-11.40522	-15.39841	3.993184	0.01941429	0.04178428
