Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
95	3	-14.30266	-14.97509	0.6724281	0.2149623	0.1783119
96	0	-13.45771	-15.08795	1.630243	0.11488	0.1826128
97	1	-13.17964	-15.04484	1.865203	0.1419616	0.1320351
98	2	-12.82708	-15.92268	3.095606	0.06727117	0.08368529
99	3	-13.58743	-14.99949	1.412058	0.1424087	0.1769025
100	0	-12.82573	-15.30827	2.482547	0.09622433	0.116038
101	1	-12.57637	-15.1449	2.568527	0.1463777	0.05728657
102	2	-13.36814	-15.48735	2.119214	0.195409	0.05318662
103	3	-13.21056	-14.98171	1.771153	0.1720611	0.1113406
104	0	-15.76639	-16.55782	0.7914281	0.2830161	0.09835814
105	1	-12.38535	-15.41694	3.031593	0.1183305	0.0390272
106	2	-12.46345	-15.5514	3.087953	0.1044132	0.0473085
107	3	-12.97068	-16.06139	3.090703	0.05513486	0.09631183
108	0	-14.42847	-15.16619	0.7377231	0.2512004	0.1355443
109	1	-12.4452	-15.26597	2.820775	0.13066	0.0477795
110	2	-12.85512	-15.19638	2.341256	0.1724719	0.05391959
111	3	-13.0386	-15.29936	2.260762	0.08281734	0.1516235
112	0	-12.66707	-15.9132	3.246132	0.08078524	0.05511854
113	1	-12.95827	-15.17377	2.215502	0.1099596	0.1290073
114	2	-12.67802	-15.14013	2.462117	0.1364026	0.0779027
115	3	-12.76468	-15.06632	2.301642	0.1598281	0.07052477
116	0	-13.0927	-15.03079	1.938088	0.1510648	0.1156434
117	1	-13.32522	-16.43998	3.114759	0.03497917	0.114062
118	2	-14.90794	-15.00578	0.09784295	0.2461957	0.204537
119	3	-13.03068	-15.12517	2.094487	0.1182064	0.1328619
120	0	-12.63768	-15.1728	2.535114	0.1320881	0.07491749
121	1	-13.22991	-15.47819	2.248277	0.07147707	0.1642123
122	2	-13.65049	-15.03215	1.38166	0.2123377	0.1100133
123	3	-13.99154	-14.97158	0.9800345	0.1669062	0.1956074
124	0	-12.60085	-15.50453	2.903688	0.09709019	0.07305805
125	1	-13.65921	-14.95649	1.29728	0.1988775	0.1319115
126	2	-13.76851	-15.00286	1.234347	0.2158206	0.1212617
127	3	-12.85966	-15.0361	2.176436	0.1589866	0.08388687
128	0	-12.62887	-15.24543	2.616558	0.1206151	0.07824613
129	1	-16.10411	-15.09372	-1.010386	0.2521891	0.3093665
130	2	-14.10089	-15.31774	1.216853	0.2356966	0.1031352
131	3	-12.532	-15.39443	2.862433	0.1101076	0.06416617
132	0	-13.61756	-15.19516	1.577594	0.108086	0.1946716
133	1	-16.32115	-16.3932	0.07204512	0.3165342	0.1367783
134	2	-13.65334	-15.0059	1.352565	0.2107638	0.1144968
135	3	-14.53507	-16.44019	1.905114	0.06398715	0.2060184
136	0	-15.90119	-15.04063	-0.8605683	0.2568291	0.2897447
137	1	-17.22386	-15.25844	-1.965417	0.2915646	0.3654941
138	2	-13.13982	-15.18963	2.049817	0.09519525	0.16034
139	3	-14.86529	-16.71158	1.846286	0.06294919	0.2129392
140	0	-13.24904	-14.99891	1.74987	0.1622833	0.1232468
141	1	-15.66116	-16.16069	0.4995259	0.291161	0.1194034
142	2	-12.83997	-15.34592	2.505952	0.08955439	0.1203674
143	3	-14.53021	-15.04627	0.516054	0.2510549	0.1578567
144	0	-12.46304	-15.22999	2.76695	0.136576	0.04724602
145	1	-13.13957	-15.04674	1.907162	0.1429318	0.126869
146	2	-12.68781	-15.37554	2.687731	0.1003752	0.09136865
147	3	-13.62623	-14.96509	1.338863	0.203112	0.1235187
148	0	-14.54077	-16.31707	1.776296	0.2286624	0.05422501
149	1	-14.3445	-14.98031	0.6358042	0.1735603	0.2233763
150	2	-12.90431	-16.12485	3.220539	0.06249117	0.07597194
151	3	-14.62496	-14.97494	0.3499856	0.1988986	0.2266198
152	0	-12.3417	-15.7274	3.385702	0.1058999	0.01604686
153	1	-14.24003	-14.97817	0.7381377	0.1979615	0.1887418
154	2	-13.08746	-15.03669	1.949231	0.1488854	0.1167085
155	3	-12.9047	-15.05198	2.147278	0.1493125	0.0964767
156	0	-12.81477	-15.05855	2.243773	0.1513853	0.08475442
157	1	-12.64816	-15.19566	2.5475	0.1273698	0.0783972
158	2	-13.94417	-15.11794	1.173768	0.1304852	0.212655
159	3	-14.14241	-15.02488	0.8824739	0.2337998	0.1384698
160	0	-13.60254	-15.81585	2.213315	0.1975793	0.04160624
161	1	-12.48493	-15.21077	2.725833	0.1417334	0.04620025
162	2	-12.61886	-15.14043	2.521575	0.1402419	0.06811758
163	3	-12.94391	-15.15353	2.209623	0.1171467	0.122408
164	0	-12.72359	-15.12313	2.399542	0.1377637	0.08279919
165	1	-12.68391	-15.91247	3.228558	0.07946698	0.05819421
166	2	-12.49819	-15.22445	2.726264	0.1459368	0.04195375
167	3	-13.06149	-14.99929	1.937798	0.1660325	0.1007047
168	0	-12.70664	-15.65636	2.949721	0.08144854	0.08409637
169	1	-12.43072	-15.26356	2.832845	0.1378015	0.03943103
170	2	-12.42862	-15.32314	2.894519	0.1241072	0.04695793
171	3	-15.14219	-15.05891	-0.08327294	0.2009586	0.2678857
172	0	-13.02952	-16.08723	3.057707	0.04997815	0.1047682
173	1	-13.13176	-14.99023	1.858471	0.1787408	0.09592915
174	2	-13.21884	-15.2718	2.052966	0.08738055	0.1678399
175	3	-14.06671	-15.2715	1.204795	0.1210513	0.2189862
176	0	-13.25546	-16.57505	3.319593	0.04456761	0.08399011
177	1	-14.97861	-16.7239	1.745282	0.2355818	0.05040697
178	2	-13.02076	-15.05761	2.03685	0.1799788	0.07685322
179	3	-13.01223	-15.02655	2.014317	0.1548166	0.1042688
180	0	-13.43292	-16.60264	3.169727	0.03175394	0.1117904
181	1	-12.38834	-15.40704	3.018701	0.1367709	0.02187602
182	2	-12.80763	-16.0924	3.284772	0.070275	0.0617648
183	3	-12.31581	-15.57577	3.259965	0.1141004	0.02042013
184	0	-13.05214	-15.03011	1.977973	0.1800334	0.08268628
185	1	-12.36293	-15.38211	3.019183	0.1240443	0.03455437
186	2	-13.86138	-14.96564	1.104262	0.1942583	0.1558325
187	3	-12.58169	-15.28461	2.702914	0.1182873	0.0719383
188	0	-12.72229	-15.21285	2.490564	0.1640847	0.04737594
189	1	-12.50894	-15.19253	2.683592	0.1437454	0.04841241
190	2	-14.40219	-14.97685	0.5746589	0.2254878	0.1775633
191	3	-14.33993	-18.11289	3.772952	0.03291983	0.05030198
192	0	-12.56861	-15.45038	2.881776	0.1502897	0.02204966
193	1	-14.59965	-15.13612	0.5364718	0.2581555	0.1487144
194	2	-15.03073	-15.78196	0.7512372	0.1283816	0.2570117
195	3	-12.64039	-15.63697	2.996576	0.08770517	0.07315428
196	0	-12.36283	-15.88432	3.52149	0.1007971	0.007570922
197	1	-12.81302	-15.27938	2.466359	0.1018799	0.1120013
198	2	-13.51687	-15.49487	1.978004	0.07972259	0.182994
199	3	-12.53122	-15.17882	2.647602	0.1395665	0.05619029
200	0	-12.38465	-15.58237	3.197724	0.1326865	0.00805807
201	1	-13.16459	-15.40848	2.243891	0.1865278	0.04960013
202	2	-15.73925	-15.08714	-0.652108	0.2954306	0.2302973
203	3	-12.49629	-15.22887	2.732578	0.145959	0.04130016
204	0	-12.62231	-15.15263	2.530322	0.1552194	0.05226545
