Iteration	Replicate_ID	Posterior	Likelihood	Prior	delta	gamma
96	1	-20.13818	-24.12194	3.983761	0.04156151	0.02057945
97	2	-21.99806	-25.71759	3.719532	0.01093009	0.07763378
98	3	-20.19577	-24.1378	3.94203	0.04453025	0.02178377
99	4	-20.45948	-24.23684	3.77735	0.05596575	0.02681623
100	0	-20.32341	-24.58084	4.257432	0.02426443	0.01050943
101	1	-20.01986	-24.14726	4.127401	0.03142371	0.01635318
102	2	-19.79329	-24.04269	4.249394	0.006016301	0.02956131
103	3	-20.08625	-23.86815	3.781902	0.03875842	0.04356839
104	4	-21.83375	-25.01713	3.183377	0.1031367	0.03904265
105	0	-19.99469	-24.08479	4.090096	0.006858215	0.0446492
106	1	-20.17345	-24.50846	4.335012	0.0143833	0.01263248
107	2	-21.07558	-25.05795	3.982365	0.004330923	0.05794962
108	3	-20.62886	-24.17292	3.54406	0.05193278	0.05417824
109	4	-21.85786	-25.19327	3.335404	0.03464588	0.09233078
110	0	-21.43526	-25.28782	3.852566	0.007375679	0.06788477
111	1	-19.84145	-23.95213	4.110675	0.02935743	0.02009211
112	2	-20.11624	-24.31951	4.203271	0.004105338	0.03608462
113	3	-20.8301	-24.42389	3.593785	0.07027411	0.03086444
114	4	-22.83143	-26.23745	3.40602	0.1067389	0.01317608
115	0	-19.71851	-23.79509	4.076577	0.01040344	0.04245587
116	1	-20.76098	-24.41845	3.65747	0.06795603	0.02681403
117	2	-20.32104	-24.5055	4.184455	0.003385369	0.03868615
118	3	-20.71271	-24.47106	3.758358	0.06483138	0.01984988
119	4	-20.11359	-23.92355	3.809959	0.04251508	0.03700607
120	0	-19.72352	-23.66666	3.943146	0.02735819	0.03884423
121	1	-21.30929	-25.14124	3.831949	0.07419061	0.003131539
122	2	-21.30106	-25.75052	4.449463	0.006738994	0.008831687
123	3	-20.07841	-24.18398	4.105568	0.03379528	0.01616497
124	4	-22.41103	-25.17198	2.760946	0.1085164	0.075906
125	0	-20.91031	-24.41785	3.507539	0.03310096	0.07666218
126	1	-21.32392	-25.15677	3.832855	0.07434939	0.002882107
127	2	-20.26227	-24.59419	4.331915	0.01569496	0.01163054
128	3	-21.07583	-24.75033	3.6745	0.07749698	0.01557
129	4	-20.73193	-24.37399	3.642058	0.06651344	0.0297978
130	0	-20.24834	-23.94407	3.695738	0.04020754	0.05073564
131	1	-24.19364	-27.68971	3.496067	0.1091796	0.001730771
132	2	-20.26813	-24.43409	4.165963	0.003798304	0.04012243
133	3	-23.5932	-25.74957	2.156368	0.1314054	0.1134749
134	4	-19.79378	-23.74346	3.949685	0.03211256	0.03343596
135	0	-19.56677	-23.63938	4.072611	0.02310014	0.0301558
136	1	-21.16094	-25.10593	3.944999	0.06485523	0.00116189
137	2	-20.43755	-24.63013	4.192575	0.002904481	0.03835505
138	3	-19.6568	-23.64756	3.990758	0.02617787	0.03526335
139	4	-20.63937	-24.24379	3.604416	0.06009913	0.03997625
140	0	-19.5964	-23.62888	4.032477	0.02412228	0.03314701
141	1	-21.41835	-25.6833	4.264953	0.03177813	0.002243633
142	2	-20.12144	-24.45511	4.333663	0.004249383	0.02290132
143	3	-20.78737	-24.5692	3.781834	0.01454537	0.06778829
144	4	-23.18194	-25.88954	2.707591	0.1344768	0.05528107
145	0	-21.15023	-24.9078	3.757565	0.01336886	0.07139162
146	1	-21.66706	-25.42482	3.757761	0.08205599	0.002684952
147	2	-20.46167	-24.84444	4.38277	0.01093774	0.01130226
148	3	-20.66507	-24.40725	3.742182	0.01808022	0.06821862
149	4	-21.13541	-24.48262	3.347206	0.06999532	0.05580111
150	0	-19.57689	-23.60762	4.030735	0.02238365	0.03505984
151	1	-21.07165	-25.14218	4.07053	0.05094229	0.002521733
152	2	-20.2794	-24.3147	4.035293	0.006464486	0.05052327
153	3	-20.64267	-24.16679	3.524115	0.04855178	0.05955377
154	4	-19.67745	-23.69624	4.018788	0.0144812	0.04415698
155	0	-19.48129	-23.63486	4.153574	0.01674566	0.02841397
156	1	-21.01033	-24.95074	3.940409	0.06187566	0.004600438
157	2	-19.67446	-23.73488	4.060412	0.01197123	0.04250457
158	3	-20.55853	-24.14625	3.587714	0.05252339	0.04922224
159	4	-20.81975	-25.24956	4.429814	0.005107283	0.01242833
160	0	-21.03646	-24.62079	3.584329	0.07870089	0.02338319
161	1	-19.76865	-24.00162	4.232976	0.01956938	0.01765005
162	2	-19.97485	-24.02315	4.048306	0.03520852	0.02047793
163	3	-23.58359	-26.95622	3.372625	0.02201483	0.1012396
164	4	-20.09557	-24.45065	4.355083	0.005268873	0.01973987
165	0	-21.63256	-25.12157	3.489013	0.0929268	0.01868892
166	1	-19.6077	-23.61353	4.005827	0.02294132	0.03699303
167	2	-20.75133	-24.22535	3.474019	0.04418741	0.06892769
168	3	-19.69461	-23.64633	3.951726	0.02190194	0.04344245
169	4	-20.17272	-24.09061	3.917889	0.0124073	0.05632082
170	0	-19.86202	-23.81399	3.951974	0.03487329	0.03044636
171	1	-21.1609	-24.46655	3.305646	0.05089757	0.07905485
172	2	-20.66366	-24.27116	3.607501	0.06175095	0.03801597
173	3	-19.784	-23.6854	3.901394	0.02522965	0.04514797
174	4	-19.82817	-23.72986	3.901686	0.03168306	0.03866536
175	0	-19.72565	-23.96701	4.241364	0.01806908	0.01831155
176	1	-21.39346	-24.64765	3.254192	0.08301111	0.05208674
177	2	-20.72296	-24.6357	3.912742	0.05774545	0.01149735
178	3	-20.31876	-24.19289	3.874133	0.01335669	0.05974706
