Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
10	0	-94.31297	-104.4217	10.10876	0.01663228	0.01504891	0.02540662	0.1027182	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.0419316	0.09573036	0.0254066	0.0166323	0.0150489	0.05708782	0.7345102
11	1	-96.75158	-103.8972	7.145646	0.04089401	0.04536404	0.008998422	0.03386357	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	0.0833596	4.080138e-05	0.00899842	0.040894	0.045364	0.09525647	0.8751069
12	0	-94.84034	-107.7552	12.9149	0.004104256	0.02618196	0.005137744	0.1140748	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.0229241	0.06533333	0.00513774	0.00410426	0.026182	0.03542396	0.6471365
13	1	-95.92067	-105.8215	9.900793	0.04511686	0.007807591	0.01903127	0.03956952	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0575934	0.0001578074	0.0190313	0.0451169	0.00780759	0.07195572	0.8003999
14	0	-94.222	-106.2743	12.05232	0.003064346	0.03568212	0.003698032	0.109225	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.0274674	0.07167409	0.00369803	0.00306435	0.0356821	0.0424445	0.6471365
15	1	-96.38169	-111.7087	15.32704	0.01072425	0.007937603	0.004283549	0.08870623	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.00495213	0.0001561243	0.00428355	0.0107243	0.0079376	0.0229454	0.2158222
16	0	-94.50275	-107.3165	12.81376	0.01461895	0.02019069	0.00801708	0.04826156	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.0315283	0.05187803	0.00801708	0.0146189	0.0201907	0.04282672	0.7361837
17	1	-96.21085	-108.1572	11.94631	0.03469864	0.01314192	0.006533961	0.04727268	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0273679	0.0001816927	0.00653396	0.0346986	0.0131419	0.05437453	0.5033216
18	0	-94.08363	-106.0062	11.92257	0.03171137	0.0125853	0.006672242	0.05955779	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.0375225	0.03139088	0.00667224	0.0317114	0.0125853	0.05096891	0.7361837
19	1	-96.97163	-108.2431	11.2715	0.03469864	0.008868973	0.01815143	0.02616306	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	0.0416465	9.306728e-05	0.0181514	0.0346986	0.00886897	0.06171905	0.6747756
