Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
14	0	-77.33492	-87.73075	10.39583	0.05340474	0.02039268	0.03147385	0.01046202	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.0923222	0.00982554	0.0314738	0.0534047	0.0203927	0.1052713	0.8769936
15	1	-74.24057	-88.26013	14.01956	0.007401913	0.006755974	0.03126124	0.01039794	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.0206696	0.003719264	0.0312612	0.00740191	0.00675597	0.04541913	0.4550867
16	0	-77.98302	-89.04998	11.06696	0.02240441	0.05579297	0.004971617	0.006278219	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.0575373	0.07843554	0.00497162	0.0224044	0.055793	0.083169	0.6918121
17	1	-73.84783	-87.27856	13.43073	0.007591691	0.02960546	0.01788546	0.00885815	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.0347953	0.006630993	0.0178855	0.00759169	0.0296055	0.05508261	0.6316934
18	0	-75.70263	-88.799	13.09637	0.02028473	0.008507596	0.02753458	0.01234407	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.025725	0.02917614	0.0275346	0.0202847	0.0085076	0.05632691	0.4567086
19	1	-74.49108	-88.04587	13.55479	0.01120926	0.026214	0.01298364	0.01874045	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.0235759	0.01216977	0.0129836	0.0112093	0.026214	0.0504069	0.4677127
20	0	-74.59709	-87.69068	13.09359	0.00206996	0.01884414	0.03995652	0.002632203	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.032457	0.01212414	0.0399565	0.00206996	0.0188441	0.06087062	0.5332134
21	1	-73.9958	-87.99135	13.99555	0.0007202666	0.0381552	0.005937463	0.007603892	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.0119562	0.01252175	0.00593746	0.000720267	0.0381552	0.04481293	0.2668032
22	0	-75.25607	-88.8718	13.61573	0.01705579	0.02312015	0.007317138	0.004415295	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.0252761	0.03774163	0.00731714	0.0170558	0.0231201	0.04749307	0.5322058
23	1	-73.81757	-87.4534	13.63583	0.008864613	0.02089266	0.02194428	0.004968532	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.0235751	0.01013228	0.0219443	0.00886461	0.0208927	0.05170155	0.4559834
