Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
13	1	-53.01965	-64.686	11.66635	0.004553707	0.01100268	0.07120095	0.003880997	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.048925	0.001779256	0.0712009	0.00455371	0.0110027	0.08675733	0.5639297
14	0	-58.91637	-70.86693	11.95055	0.0175165	0.03107066	0.02905107	0.01197339	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.03881	0.01897158	0.0290511	0.0175165	0.0310707	0.07763823	0.4998828
15	1	-50.96807	-64.01231	13.04424	0.002405982	0.00441411	0.05624856	0.006591359	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.025352	0.0007889607	0.0562486	0.00240598	0.00441411	0.06306865	0.4019749
16	0	-60.89756	-71.05834	10.16078	0.02037219	0.004179657	0.07479606	0.01456324	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.0419807	0.06750522	0.0747961	0.0203722	0.00417966	0.09934791	0.4225626
17	1	-51.88296	-61.74883	9.865872	0.00243725	0.007938183	0.1069056	0.0052743	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0669906	0.0006726545	0.106906	0.00243725	0.00793818	0.117281	0.5711976
18	0	-57.76952	-69.69156	11.92204	0.04149156	0.01415021	0.02366028	0.00939068	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.0241113	0.01460706	0.0236603	0.0414916	0.0141502	0.07930205	0.3040437
19	1	-50.93686	-60.99064	10.05378	0.0005259268	0.005635676	0.1080546	0.004704888	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0475003	0.0005004846	0.108055	0.000525927	0.00563568	0.1142162	0.4158804
20	0	-59.41892	-70.81058	11.39167	0.0426639	0.01019672	0.03247588	0.03197789	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.0118916	0.00951849	0.0324759	0.0426639	0.0101967	0.0853365	0.139349
21	1	-46.26857	-59.62449	13.35592	0.0007429682	0.002182225	0.05547428	0.003221809	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.000347543	0.0004882753	0.0554743	0.000742968	0.00218223	0.05839947	0.005951139
22	0	-57.40445	-71.0199	13.61546	0.01085031	0.00313002	0.03192644	0.04790309	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.00600286	0.003425852	0.0319264	0.0108503	0.00313002	0.04590677	0.130762
23	1	-46.99465	-60.31973	13.32509	0.0001119656	0.00339178	0.05547428	0.001988176	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.0116819	0.001397918	0.0554743	0.000111966	0.00339178	0.05897802	0.1980725
