Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
15	1	-32.52102	-47.14719	14.62617	0.02303437	0.002014802	0.01016697	0.008987327	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.0053771	0.01555688	0.010167	0.0230344	0.0020148	0.03521614	0.1526886
16	0	-30.85874	-45.67951	14.82076	0.0009040832	0.006806322	0.02418535	0.0154378	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.00684186	0.01232436	0.0241853	0.000904083	0.00680632	0.03189575	0.2145069
17	1	-37.29256	-49.98395	12.69139	0.01458198	0.02565052	0.02073824	0.01398	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.0256345	0.02814596	0.0207382	0.014582	0.0256505	0.06097074	0.4204401
18	0	-34.86178	-49.13369	14.27191	0.009695754	0.01061352	0.01132148	0.05229245	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.00621529	0.03216447	0.0113215	0.00969575	0.0106135	0.03163076	0.1964951
19	1	-32.9309	-47.65655	14.72565	0.003209669	0.009473191	0.01634361	0.02441919	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.00381524	0.03245038	0.0163436	0.00320967	0.00947319	0.02902647	0.1314401
20	0	-32.85374	-47.34461	14.49087	0.002987352	0.00455568	0.02266549	0.04768734	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.00101125	0.02458736	0.0226655	0.00298735	0.00455568	0.03020852	0.03347561
21	1	-34.47254	-48.42132	13.94878	0.003476217	0.01711816	0.01801288	0.04878451	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.00830778	0.02033835	0.0180129	0.00347622	0.0171182	0.03860726	0.2151869
22	0	-36.43562	-50.23008	13.79446	0.005593045	0.01301322	0.01543998	0.09817001	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.00567314	0.01753484	0.01544	0.00559305	0.0130132	0.03404625	0.1666305
23	1	-34.6543	-48.54247	13.88816	0.0009134409	0.02305696	0.01801288	0.02710423	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.00405909	0.02502298	0.0180129	0.000913441	0.023057	0.04198328	0.0966835
24	0	-37.18879	-51.64274	14.45394	0.009311809	0.009472654	0.005511848	0.08595921	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.00568343	0.03038681	0.00551185	0.00931181	0.00947265	0.02429631	0.2339214
25	1	-31.9663	-46.81661	14.85031	0.0105597	0.0002242111	0.01873385	0.02082069	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.00442912	0.02022759	0.0187339	0.0105597	0.000224211	0.02951777	0.1500494
26	0	-33.18729	-47.4659	14.27861	0.003483263	0.01005574	0.02197559	0.03353318	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.00660979	0.02372825	0.0219756	0.00348326	0.0100557	0.03551459	0.1861147
27	1	-33.22162	-47.93325	14.71162	0.004247516	0.002604113	0.02530413	0.01671639	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.0154263	0.02018384	0.0253041	0.00424752	0.00260411	0.03215576	0.4797364
28	0	-32.36727	-46.90738	14.54011	0.007517827	0.005863822	0.0194172	0.01350489	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.000832206	0.03615437	0.0194172	0.00751783	0.00586382	0.03279884	0.02537304
29	1	-34.77743	-47.55435	12.77692	0.002980916	0.01346408	0.04594975	0.010278	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.0425701	0.01356952	0.0459498	0.00298092	0.0134641	0.06239475	0.6822702
