Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
13	1	-25.30536	-36.42793	11.12258	0.01512147	0.01604676	0.03685518	0.04847358	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.0377259	0.1326845	0.0368552	0.0151215	0.0160468	0.06802341	0.5546013
14	0	-25.65458	-35.50519	9.850609	0.008903163	0.0004795893	0.03819315	0.2611318	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.013265	0.1508924	0.0381932	0.00890316	0.000479589	0.0475759	0.2788173
15	1	-25.67651	-35.05949	9.382988	0.0134278	0.008580478	0.02683587	0.1732386	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.00429554	0.2791177	0.0268359	0.0134278	0.00858048	0.04884415	0.08794386
16	0	-25.4018	-34.46965	9.067857	0.02818549	0.01185591	0.01199641	0.2734797	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.000819999	0.1941978	0.0119964	0.0281855	0.0118559	0.05203781	0.01575775
17	1	-31.19007	-36.86031	5.670241	0.009208188	0.009975665	0.008723694	0.4729591	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.000899383	0.4568208	0.00872369	0.00920819	0.00997567	0.02790755	0.03222722
18	0	-26.61365	-35.09873	8.485081	0.04350563	0.008881489	0.002845507	0.250302	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.0165163	0.2594553	0.00284551	0.0435056	0.00888149	0.05523263	0.2990313
19	1	-28.56218	-35.88339	7.321208	0.03818193	0.01887305	0.007726606	0.3315257	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.0326069	0.2462056	0.00772661	0.0381819	0.0188731	0.06478159	0.5033357
20	0	-23.63124	-34.8326	11.20135	0.02015341	0.03716244	0.001012773	0.06781539	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.0131544	0.1546179	0.00101277	0.0201534	0.0371624	0.05832863	0.2255216
21	1	-26.90878	-34.80169	7.892905	0.02593507	0.008311105	0.02224749	0.2694063	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.0115345	0.2931751	0.0222475	0.0259351	0.0083111	0.05649367	0.204174
22	0	-23.21016	-34.98155	11.77139	0.01090609	0.03497783	0.01333282	0.03397048	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.00269761	0.1269562	0.0133328	0.0109061	0.0349778	0.05921674	0.04555489
