Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
12	0	-32.91077	-44.62286	11.7121	0.03034876	0.003065834	0.04288713	0.06435336	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.000736749	0.01766958	0.0428871	0.0303488	0.00306583	0.07630172	0.009655738
13	1	-34.99552	-45.83661	10.84109	0.01468628	0.03319355	0.02960321	0.03969893	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.00578408	0.1258153	0.0296032	0.0146863	0.0331936	0.07748304	0.0746496
14	0	-33.01731	-45.063	12.04569	0.02521317	0.01593177	0.02914458	0.05744004	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.00837222	0.009593555	0.0291446	0.0252132	0.0159318	0.07028952	0.1191104
15	1	-35.39117	-46.13515	10.74399	0.01248189	0.05833702	0.02186102	0.07157713	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.0236216	0.05721557	0.021861	0.0124819	0.058337	0.09267993	0.2548733
16	0	-32.4915	-45.30125	12.80975	0.03119998	0.001930308	0.02537287	0.02163024	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.00155411	0.005008787	0.0253729	0.0312	0.00193031	0.05850315	0.02656461
17	1	-37.13346	-47.24792	10.11447	0.004730288	0.05833702	0.02186102	0.09199925	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.0241263	0.1234296	0.021861	0.00473029	0.058337	0.08492833	0.2840786
18	0	-36.36565	-46.69462	10.32897	0.05708374	0.00525489	0.03834869	0.1248892	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.0321517	0.02093991	0.0383487	0.0570837	0.00525489	0.1006873	0.3193218
19	1	-39.95781	-50.14522	10.18741	0.0186262	0.04099676	0.003160662	0.1334542	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.0197653	0.1423406	0.00316066	0.0186262	0.0409968	0.06278363	0.3148161
20	0	-32.68707	-44.90418	12.2171	0.01676229	0.01652748	0.02977197	0.03168855	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.00121694	0.04028688	0.029772	0.0167623	0.0165275	0.06306175	0.01929762
21	1	-38.73974	-47.5814	8.841651	0.01314476	0.03752857	0.03620518	0.2030529	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.0145566	0.1336988	0.0362052	0.0131448	0.0375286	0.08687852	0.1675517
22	0	-33.30858	-44.97406	11.66548	0.01676229	0.06673988	0.005836678	0.01649237	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.0180535	0.03035883	0.00583668	0.0167623	0.0667399	0.08933885	0.2020794
23	1	-37.6596	-47.65433	9.994734	0.03708908	0.03752857	0.0228016	0.04644105	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.00193554	0.1427964	0.0228016	0.0370891	0.0375286	0.09741925	0.01986817
